"state","week","deathsum","committee","individual"
"624","AL",2020-02-11,NA,122947,NA
"625","AL",2020-02-18,NA,125544,NA
"626","AL",2020-02-25,NA,154205,NA
"627","AL",2020-03-03,NA,190800,232661
"628","AR",2019-01-08,NA,2000,NA
"629","AR",2019-01-15,NA,14750,NA
"630","AR",2019-01-22,NA,18000,NA
"631","AR",2019-01-29,NA,11000,NA
"632","AR",2019-02-05,NA,38500,NA
"633","AR",2019-02-12,NA,24500,NA
"634","AR",2019-02-19,NA,25000,NA
"635","AR",2019-02-26,NA,56500,NA
"636","AR",2019-03-05,NA,62000,NA
"637","AR",2019-03-12,NA,41500,NA
"638","AR",2019-03-19,NA,86000,NA
"639","AR",2019-03-26,NA,84500,NA
"640","AR",2019-04-02,NA,152759,NA
"641","AR",2019-04-09,NA,34700,NA
"642","AR",2019-04-16,NA,33500,NA
"643","AR",2019-04-23,NA,34500,NA
"644","AR",2019-04-30,NA,61000,NA
"645","AR",2019-05-07,NA,73000,NA
"646","AR",2019-05-14,NA,18500,NA
"647","AR",2019-05-21,NA,30250,NA
"648","AR",2019-05-28,NA,25500,NA
"649","AR",2019-06-04,NA,46500,NA
"650","AR",2019-06-11,NA,67900,NA
